x,y
0.00,40.31
1.00,41.45
2.00,42.59
3.00,43.73
4.00,44.87
5.00,46.01
6.00,47.15
7.00,48.29
8.00,49.43
9.00,50.57
10.00,51.71
11.00,52.85
12.00,53.99
13.00,55.13
14.00,56.27
15.00,57.41
16.00,58.55
17.00,59.69
18.00,60.83
19.00,61.97
20.00,63.11
21.00,64.25
22.00,65.39
23.00,66.53
24.00,67.67
25.00,68.81
26.00,69.95
27.00,71.09
28.00,72.23
29.00,73.37
30.00,74.51
31.00,75.65
32.00,76.79
33.00,77.93
34.00,79.07
35.00,80.21
36.00,81.35
37.00,82.49
38.00,83.63
39.00,84.77
40.00,85.91
41.00,87.05
42.00,88.19
43.00,89.33
44.00,90.47
45.00,91.61
46.00,92.75
47.00,93.89
48.00,95.03
49.00,96.17
50.00,97.31
51.00,98.45
52.00,99.59
53.00,100.73
54.00,101.87
55.00,103.01
56.00,104.15
57.00,105.29
58.00,106.43
59.00,107.57
60.00,108.71
61.00,109.85
62.00,110.99
63.00,112.13
64.00,113.27
65.00,114.41
66.00,115.55
67.00,116.69
68.00,117.83
69.00,118.97
70.00,120.11
71.00,121.25
72.00,122.39
73.00,123.53
74.00,124.67
75.00,125.81
76.00,126.95
77.00,128.09
78.00,129.23
79.00,130.37
80.00,131.51
81.00,132.65
82.00,133.79
83.00,134.93
84.00,136.07
85.00,137.21
86.00,138.35
87.00,139.49
88.00,140.63
89.00,141.77
90.00,142.91
91.00,144.05
92.00,145.19
93.00,146.33
94.00,147.47
95.00,148.61
96.00,149.75
97.00,150.89
98.00,152.03
99.00,153.17
