x,y
0.00,39.31
1.00,40.44
2.00,41.57
3.00,42.70
4.00,43.83
5.00,44.96
6.00,46.09
7.00,47.22
8.00,48.35
9.00,49.48
10.00,50.61
11.00,51.74
12.00,52.87
13.00,54.00
14.00,55.13
15.00,56.26
16.00,57.39
17.00,58.52
18.00,59.65
19.00,60.78
20.00,61.91
21.00,63.04
22.00,64.17
23.00,65.30
24.00,66.43
25.00,67.56
26.00,68.69
27.00,69.82
28.00,70.95
29.00,72.08
30.00,73.21
31.00,74.34
32.00,75.47
33.00,76.60
34.00,77.73
35.00,78.86
36.00,79.99
37.00,81.12
38.00,82.25
39.00,83.38
40.00,84.51
41.00,85.64
42.00,86.77
43.00,87.90
44.00,89.03
45.00,90.16
46.00,91.29
47.00,92.42
48.00,93.55
49.00,94.68
50.00,95.81
51.00,96.94
52.00,98.07
53.00,99.20
54.00,100.33
55.00,101.46
56.00,102.59
57.00,103.72
58.00,104.85
59.00,105.98
60.00,107.11
61.00,108.24
62.00,109.37
63.00,110.50
64.00,111.63
65.00,112.76
66.00,113.89
67.00,115.02
68.00,116.15
69.00,117.28
70.00,118.41
71.00,119.54
72.00,120.67
73.00,121.80
74.00,122.93
75.00,124.06
76.00,125.19
77.00,126.32
78.00,127.45
79.00,128.58
80.00,129.71
81.00,130.84
82.00,131.97
83.00,133.10
84.00,134.23
85.00,135.36
86.00,136.49
87.00,137.62
88.00,138.75
89.00,139.88
90.00,141.01
91.00,142.14
92.00,143.27
93.00,144.40
94.00,145.53
95.00,146.66
96.00,147.79
97.00,148.92
98.00,150.05
99.00,151.18
